segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,2.0,1.0,-1.0,129.64476708550413
9,2248,0.1090498398932691,2.0,1.0,-1.0,18.818783542039355
8,2643,0.04617416514295133,2.0,1.0,-1.0,7.9682979810886785
7,2916,0.02329666593263744,2.0,1.0,-1.0,4.020316892409916
2,3952,0.01586006628772593,2.0,1.0,-1.0,2.7369792997699975
6,3177,0.015715457100533226,2.0,1.0,-1.0,2.712024022489139
1,2833,0.014039826836236797,2.0,1.0,-1.0,2.4212508938604556
5,3498,0.011847513055181178,2.0,1.0,-1.0,2.0431734600061295
3,4175,0.0071474553151688,2.0,1.0,-1.0,1.2334398159979556
4,3908,0.005112930667706451,2.0,1.0,-1.0,0.8823409148990544
