segment,n_series,volume_share,vn1,wape,bias_pct,mae
10,1764,0.7517560797685897,0.6301653414533933,0.47676474775612704,0.15340059369726627,61.810054677422215
9,2248,0.1090498398932691,1.15240957924096,0.821091128152624,0.3313184510883361,15.451936208993128
8,2643,0.04617416514295133,1.3204947682249724,0.954188592090038,0.3663061761349343,7.603259031928899
7,2916,0.02329666593263744,1.4549901104644398,1.0835201376545702,0.37146997280986965,4.3560943126789855
2,3952,0.01586006628772593,1.9931386077635336,1.0064888368408333,-0.9866497709227005,2.754739111882943
6,3177,0.015715457100533226,1.1223761869907645,1.0706568950443598,-0.051719291946404664,2.903647219203936
1,2833,0.014039826836236797,1.9997091231306383,1.0011259198706257,-0.9985832032600124,2.4239770283536233
5,3498,0.011847513055181178,1.5905877600668952,1.095978655614659,-0.49460910445223616,2.2392745018850686
3,4175,0.0071474553151688,1.9003796912731181,1.0515809453209037,-0.8487987459522145,1.2970618077035716
4,3908,0.005112930667706451,1.6277810505287122,1.120870268843001,-0.5069107816857112,0.9889896984940827
